,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Title,Child_elder,Age_bin,Pclass*Sex,Pclass*Embarked,Pclass*Title,Pclass*Child_elder,Pclass*Age_bin,Sex*Embarked,Sex*Title,Sex*Child_elder,Sex*Age_bin,Embarked*Title,Embarked*Child_elder,Embarked*Age_bin,Title*Child_elder,Title*Age_bin,Child_elder*Age_bin,Pclass*Pclass,Pclass*Age,Pclass+Age,Pclass-Age,Pclass*Fare,Pclass+Fare,Pclass-Fare,Pclass*Parch,Pclass+Parch,Pclass-Parch,Age-Pclass,Age*Age,Age*Fare,Age+Fare,Age-Fare,Age*Parch,Age+Parch,Age-Parch,Fare-Pclass,Fare-Age,Fare*Fare,Fare*Parch,Fare+Parch,Fare-Parch,Parch-Pclass,Parch-Age,Parch-Fare,Parch*Parch
0,0.0,3,0,22.0,1,0,7.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,66.0,25.0,-19.0,21.75,10.25,-4.25,0,3,3,19.0,484.0,159.5,29.25,14.75,0.0,22.0,22.0,4.25,-14.75,52.5625,0.0,7.25,7.25,-3,-22.0,-7.25,0
1,1.0,1,1,38.0,1,0,71.2833,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,38.0,39.0,-37.0,71.2833,72.2833,-70.2833,0,1,1,37.0,1444.0,2708.7653999999998,109.2833,-33.2833,0.0,38.0,38.0,70.2833,33.2833,5081.30885889,0.0,71.2833,71.2833,-1,-38.0,-71.2833,0
2,1.0,3,1,26.0,0,0,7.925,0,2,0,0,2,0,2,0,0,2,2,1,2,2,0,0,2,2,0,9,78.0,29.0,-23.0,23.775,10.925,-4.925,0,3,3,23.0,676.0,206.04999999999998,33.925,18.075,0.0,26.0,26.0,4.925,-18.075,62.805625,0.0,7.925,7.925,-3,-26.0,-7.925,0
3,1.0,1,1,35.0,1,0,53.1,0,1,0,2,1,2,1,1,2,2,1,1,3,3,0,2,1,3,2,1,35.0,36.0,-34.0,53.1,54.1,-52.1,0,1,1,34.0,1225.0,1858.5,88.1,-18.1,0.0,35.0,35.0,52.1,18.1,2819.61,0.0,53.1,53.1,-1,-35.0,-53.1,0
4,0.0,3,0,35.0,0,0,8.05,0,0,0,2,0,0,0,0,3,0,0,0,4,0,0,2,0,4,2,9,105.0,38.0,-32.0,24.150000000000002,11.05,-5.050000000000001,0,3,3,32.0,1225.0,281.75,43.05,26.95,0.0,35.0,35.0,5.050000000000001,-26.95,64.80250000000001,0.0,8.05,8.05,-3,-35.0,-8.05,0
5,0.0,3,0,26.0,0,0,8.4583,2,0,0,0,0,3,0,0,0,3,0,0,0,4,2,3,0,0,0,9,78.0,29.0,-23.0,25.374899999999997,11.4583,-5.4582999999999995,0,3,3,23.0,676.0,219.9158,34.4583,17.5417,0.0,26.0,26.0,5.4582999999999995,-17.5417,71.54283888999998,0.0,8.4583,8.4583,-3,-26.0,-8.4583,0
6,0.0,1,0,54.0,0,0,51.8625,0,0,0,1,3,2,3,1,1,0,0,0,5,0,0,4,0,5,1,1,54.0,55.0,-53.0,51.8625,52.8625,-50.8625,0,1,1,53.0,2916.0,2800.575,105.8625,2.137500000000003,0.0,54.0,54.0,50.8625,-2.137500000000003,2689.7189062499997,0.0,51.8625,51.8625,-1,-54.0,-51.8625,0
7,0.0,3,0,2.0,3,1,21.075,0,3,1,3,0,0,4,2,4,0,3,2,6,5,3,5,3,6,3,9,6.0,5.0,1.0,63.224999999999994,24.075,-18.075,3,4,2,-1.0,4.0,42.15,23.075,-19.075,2.0,3.0,1.0,18.075,19.075,444.155625,21.075,22.075,20.075,-2,-1.0,-20.075,1
8,1.0,3,1,27.0,0,2,11.1333,0,1,0,0,2,0,5,0,0,2,1,1,2,3,0,0,1,7,0,9,81.0,30.0,-24.0,33.3999,14.1333,-8.1333,6,5,1,24.0,729.0,300.5991,38.1333,15.8667,54.0,29.0,25.0,8.1333,-15.8667,123.95036889000001,22.2666,13.1333,9.1333,-1,-25.0,-9.1333,4
9,1.0,2,1,14.0,1,0,30.0708,1,1,0,3,4,4,6,3,5,1,1,1,7,1,1,6,1,8,4,4,28.0,16.0,-12.0,60.1416,32.0708,-28.0708,0,2,2,12.0,196.0,420.9912,44.0708,-16.0708,0.0,14.0,14.0,28.0708,16.0708,904.25301264,0.0,30.0708,30.0708,-2,-14.0,-30.0708,0
